id,eng,ar1,ar2
e11  ,Natural scientists have inquired into the nature of this subject according to their art and exerted themselves in it as much as they could. The learned among them settled upon the opinion that vision is effected by a form which comes from the visible object to the eye and through which sight perceives the form of the object.,"وقد بحث المتحققون بعلم الطبيعة عن حقيقة هذا المعنى بحسب صناعتهم واجتهدوا فيه بقدر طاقتهم، فاستقرت آراء المحصلين منهم على أن الإبصار إنما يكون من صورة ترد من المبصر إلى البصر منها يدرك البصر صورة المبصر.","وقد بحث المتحققون بعلم الطبيعة عن حقيقة هذا المعنى بحسب صناعتهم واجتهدوا فيه بقدر طاقتهم، فاستقرت آراء المحصلين منهم على أن الإبصار إنما يكون من صورة ترد من المبصر إلى البصر منها يدرك البصر صورة المبصر."
e12  ,"Mathematicians, for their part, have paid more attention to this science than others. They have pursued its investigation, paying attention to its details and divisions. They have distinguished objects of vision, assigning causes to their particular properties and stating reasons for each of them. All the same, they have continued throughout the ages to disagree about the principles of this subject, with the result that the opinions of the various groups among the practitioners of this art have gone different ways.","فأما أصحاب التعاليم فإنهم عنوا بهذا العلم أكثر من عناية غيرهم، واستقصوا البحث عنه، فاهتموا بتفصيله وتقسيم أنواعه، وميزوا المعاني المبصرة، وعللوا جزيئاتها، وذكروا الأسباب في كل واحد منها، مع اختلاف يتردد بينهم على طول الزمان في أصول هذا المعنى، وتفرق آراء طوائف من أهل هذه الصناعة.","فأما أصحاب التعاليم فإنهم عنوا بهذا العلم أكثر من عناية غيرهم، واستقصوا البحث عنه، فاهتموا بتفصيله وتقسيم أنواعه، وميزوا المعاني المبصرة، وعللوا جزيئاتها، وذكروا الأسباب في كل واحد منها، مع اختلاف يتردد بينهم على طول الزمان في أصول هذا المعنى، وتفرق آراء طوائف من أهل هذه الصناعة."
e13  ,"But for all the disparity in their ranks, their different epochs and the divergence of their views, in general they agree that vision is effected by a ray which issues from the eye to the visible object and by means of which sight perceives the object; that this ray extends in straight lines whose extremities meet at the centre of the eye; and that each ray through which a visible object is perceived has as a whole the shape of a cone the vertex of which is the centre of the eye and the base is the surface of the visible object.","إلا أنهم على اختلاف طبقاتهم وتباعد أزمانهم وتفرق آرائهم متفقون بالجملة على أن الإبصار إنما يكون بشعاع يخرج من البصر إلى المبصر وبه يدرك البصر صورة المبصر، وأن هذا الشعاع يمتد على سموت خطوط مستقيمة أطرافها مجتمعة عند مركز البصر، وإن كل شعاع يدرك به مبصر من المبصرات فشكل جملته شكل مخروط رأسه وقاعدته سطح المبصر.","إلا أنهم على اختلاف طبقاتهم وتباعد أزمانهم وتفرق آرائهم متفقون بالجملة على أن الإبصار إنما يكون بشعاع يخرج من البصر إلى المبصر وبه يدرك البصر صورة المبصر، وأن هذا الشعاع يمتد على سموت خطوط مستقيمة أطرافها مجتمعة عند مركز البصر، وإن كل شعاع يدرك به مبصر من المبصرات فشكل جملته شكل مخروط رأسه وقاعدته سطح المبصر."
e14  ,"These two notions, I mean the opinion of the physicists and that of the mathematicians, appear to diverge and contradict one another if taken at their face value.","وهذان المعنيان أعني رأي أصحاب الطبيعة ورأي أصحاب التعاليم متضادان متباعدان إذا أخذا على ظاهرهما.
","وهذان المعنيان أعني رأي أصحاب الطبيعة ورأي أصحاب التعاليم متضادان متباعدان إذا أخذا على ظاهرهما.
"
e15  ,"Mathematicians, moreover, differ about the structure of this ray and about the manner of its production. Some take the view that the radial cone is a solid body, continuous and compact.",ثم مع ذلك فأصحاب التعاليم مختلفون في هيئة هذا الشعاع وهيئة حدوثه. فبعضهم يرى أن مخروط الشعاع جسم مصمت متصل ملتئم.,ثم مع ذلك فأصحاب التعاليم مختلفون في هيئة هذا الشعاع وهيئة حدوثه. فبعضهم يرى أن مخروط الشعاع جسم مصمت متصل ملتئم.
e16  ,"Others think that the ray consists of straight lines which are fine bodies the extremities of which meet at the centre of the eye and divergently extend until they reach the visible object; and that sight perceives those parts of the surface of the object which the extremities of these lines encounter, whereas the parts of the object’s surface that fall between those extremities are not perceived. Thus it comes about that the extremely small parts and minute pores in the surfaces of visible objects are invisible.","وبعضهم يرى أن الشعاع خطوط مستقيمة هي أجسام دقائق أطرافها مجتمعة عند مركز البصر، وتمتد متفرقة حتى تنتهي إلى المبصر، وإن ما وافق أطراف هذه الخطوط من سطح المبصر أدركه البصر وما حصل بين أطراف خطوط الشعاع من أجزاء المبصر لم يدركه البصر، ولذلك تخفى عن البصر الأجزاء التي في غاية الصغر والمسام التي في غاية الدقة التي تكون في سطوح المبصرات.","وبعضهم يرى أن الشعاع خطوط مستقيمة هي أجسام دقائق أطرافها مجتمعة عند مركز البصر، وتمتد متفرقة حتى تنتهي إلى المبصر، وإن ما وافق أطراف هذه الخطوط من سطح المبصر أدركه البصر وما حصل بين أطراف خطوط الشعاع من أجزاء المبصر لم يدركه البصر، ولذلك تخفى عن البصر الأجزاء التي في غاية الصغر والمسام التي في غاية الدقة التي تكون في سطوح المبصرات."
e17  ,"Again, a group among those who believe the radial cone to be solid and compact thinks that the ray issues from the eye in one straight line until it reaches the object, after which it moves extremely quickly over the length and breadth of the surface of the object — so quickly in fact that the movement is imperceptible — and through this movement the solid cone is produced.","ثم إن طائفة ممن يعتقد أن مخروط الشعاع مصمت ملتئم ترى أن الشعاع يخرج من البصر على خط واحد مستقيم إلى أن ينتهي إلى المبصر، ثم يتحرك على سطح المبصر حركة في غاية السرعة في الطول والعرض لا يدركها الحس لسرعتها، فيحدث بتلك الحركة مخروط المصمت.","ثم إن طائفة ممن يعتقد أن مخروط الشعاع مصمت ملتئم ترى أن الشعاع يخرج من البصر على خط واحد مستقيم إلى أن ينتهي إلى المبصر، ثم يتحرك على سطح المبصر حركة في غاية السرعة في الطول والعرض لا يدركها الحس لسرعتها، فيحدث بتلك الحركة مخروط المصمت."
e18  ,"Another group believes the matter to be different and that when the eyelids open in front of an object, the cone is immediately produced, all at once, in no sensible time.",وطائفة ترى أن الأمر بخلاف ذلك وان البصر إذا فتح أجفانه قبالة المبصر حدث المخروط في الحال دفعة واحدة بغير زمان محسوس.,وطائفة ترى أن الأمر بخلاف ذلك وان البصر إذا فتح أجفانه قبالة المبصر حدث المخروط في الحال دفعة واحدة بغير زمان محسوس.
e19  ,"A group from among all of these thinks the vision-producing ray to be a luminous power which issues forth from the eye to the visible object, and that sensation is brought about by that power. Another group is of the opinion that when the air comes into contact with the eye it receives from the eye only a certain quality which immediately turns the air into a ray through which sight perceives the visible objects.","ورأى طائفة من جميع هؤلاء أن الشعاع الذي يكون به الإبصار هو قوة نورية تنبعث من البصر وتنتهي إلى المبصر، وبتلك القوة يكون الإحساس. ورأى طائفة أن الهواء إذا اتصل بالبصر قبل منه كيفية فقط، فيصير الهواء في الحال بتلك الكيفية شعاعاً يدرك به البصر المبصرات.","ورأى طائفة من جميع هؤلاء أن الشعاع الذي يكون به الإبصار هو قوة نورية تنبعث من البصر وتنتهي إلى المبصر، وبتلك القوة يكون الإحساس. ورأى طائفة أن الهواء إذا اتصل بالبصر قبل منه كيفية فقط، فيصير الهواء في الحال بتلك الكيفية شعاعا يدرك به البصر المبصرات."
e20  ,"Each of those groups was led to its belief by reasonings, arguments, methods and evidence of its own. But the settled view of all those who have inquired into the manner of visual sensation divides on the whole into the two contrary doctrines which we mentioned earlier.","ولكل طائفة من هذه الطوائف مقاييس واستدلالات وطرق أدتهم إلى اعتقادهم وشهادات، إلا أن الغاية التي عليها استقر رأي جميع من بحث عن كيفية إحساس البصر تنقسم بالجملة إلى المذهبين المتضادين اللذين قدمنا ذكرهما.","ولكل طائفة من هذه الطوائف مقاييس واستدلالات وطرق أدتهم إلى اعتقادهم وشهادات، إلا أن الغاية التي عليها استقر رأي جميع من بحث عن كيفية إحساس البصر تنقسم بالجملة إلى المذهبين المتضادين اللذين قدمنا ذكرهما."
e21  ,"Now, for any two different doctrines, it is either the case that one of them is true and the other false; or they are both false, the truth being other than either of them; or they both lead to one thing which is the truth.","وكل مذهبين مختلفين إما أن يكون أحدهما صادقاً والآخر كاذباً، وإما أن يكونا جميعاً كاذبين والحق غيرهما جميعاً، وإما أن يكونا جميعاً يؤديان إلى معنى واحد هو الحقيقة، ","وكل مذهبين مختلفين إما أن يكون أحدهما صادقا والآخر كاذبا، وإما أن يكونا جميعا كاذبين والحق غيرهما جميعا، وإما أن يكونا جميعا يؤديان إلى معنى واحد هو الحقيقة، "
e22  ,"[In the latter case] each of the groups holding those two doctrines would have failed to complete its inquiry and, unable to reach the end, has stopped short of it. Alternatively, one of them may have reached the end but the other has stopped short of it, thus giving rise to the apparent difference between the two doctrines, although the end would have been the same had the investigation been pushed further.","ويكون كل واحد من الفريقين القائلين بذينك المذهبين قد قصر في البحث فلم يقدر على الوصول إلى الغاية فوقف دون الغاية، ووصل أحدهما إلى الغاية وقصر الآخر عنها، فعرض الخلاف في ظاهر المذهبين، وتكون غايتهما عند استقصاء البحث واحدة.","ويكون كل واحد من الفريقين القائلين بذينك المذهبين قد قصر في البحث فلم يقدر على الوصول إلى الغاية فوقف دون الغاية، ووصل أحدهما إلى الغاية وقصر الآخر عنها، فعرض الخلاف في ظاهر المذهبين، وتكون غايتهما عند استقصاء البحث واحدة."
e23  ,"Disagreement may also arise in regard to the subject of an inquiry as a result of a difference in methods of research, but when the inquiry is rightly conducted and the investigation intensified, agreement will emerge and the difference will be settled.","وقد يعرض الخلاف أيضاً في المعنى المبحوث عنه من جهة اختلاف طرق المباحث، وإذا حقق البحث وأنعم النظر ظهر الاتفاق واستقر الخلاف.
","وقد يعرض الخلاف أيضا في المعنى المبحوث عنه من جهة اختلاف طرق المباحث، وإذا حقق البحث وأنعم النظر ظهر الاتفاق واستقر الخلاف.
"
e24  ,"That being the case, and the nature of our subject being confused, in addition to the continued disagreement through the ages among investigators who have undertaken to examine it, and because the manner of vision has not been ascertained, we have thought it appropriate that we direct our attention to this subject as much as we can, and seriously apply ourselves to it, and examine it, and diligently inquire into its nature.","ولما كان ذلك كذلك، وكانت حقيقة هذا المعنى مع اطراد الخلاف بين أهل النظر المتحققين بالبحث عنه على طول الدهر ملتبسة، وكيفية الإبصار غير متيقنة، رأينا أن نصرف الاهتمام إلى هذا المعنى بغاية الإمكان، ونخلص العناية به، ونتأمله، ونوقع الجد في البحث عن حقيقته،","ولما كان ذلك كذلك، وكانت حقيقة هذا المعنى مع اطراد الخلاف بين أهل النظر المتحققين بالبحث عنه على طول الدهر ملتبسة، وكيفية الإبصار غير متيقنة، رأينا أن نصرف الاهتمام إلى هذا المعنى بغاية الإمكان، ونخلص العناية به، ونتأمله، ونوقع الجد في البحث عن حقيقته،"
e25  ,"We should, that is, recom­mence the inquiry into its principles and premisses, beginning our investiga­tion with an inspection of the things that exist and a survey of the conditions of visible objects. We should distinguish the properties of particulars, and gather by induction what pertains to the eye when vision takes place and what is found in the manner of sensation to be uniform, unchanging, manifest and not subject to doubt.","ونستأنف النظر في مبادئه ومقدماته، ونبتدئ في البحث باستقراء الموجودات، وتصفح أحوال المبصرات، ونميز خواص الجزئيات، ونلتقط بالاستقراء ما يخص البصر في حال الإبصار، وما هو مطرد لا يتغير وظاهر لا يشتبه من كيفية الإحساس،","ونستأنف النظر في مبادئه ومقدماته، ونبتدئ في البحث باستقراء الموجودات، وتصفح أحوال المبصرات، ونميز خواص الجزئيات، ونلتقط بالاستقراء ما يخص البصر في حال الإبصار، وما هو مطرد لا يتغير وظاهر لا يشتبه من كيفية الإحساس،"
e26  ,"After which we should ascend in our inquiry and reasonings, gradually and orderly, criticizing premisses and exercising caution in regard to conclusions — our aim in all that we make subject to inspection and review being to employjustice, not to follow prejudice, and to take care in all that we judge and criticize that we seek the truth and not to be swayed by opinion.","ثم نرقى في البحث والمقاييس على التدريج والترتيب، مع انتقاد المقدمات والتحفظ في النتائج، ونجعل غرضنا في جميع ما نستقرئه ونتصفحه استعمال العدل لا اتباع الهوى، ونتحرى في سائر ما نميزه وننتقده طلب الحق لا الميل مع الآراء، فلعلنا ننتهي بهذا الطريق إلى الحق الذي به يثلج الصدر،","ثم نرقى في البحث والمقاييس على التدريج والترتيب، مع انتقاد المقدمات والتحفظ في النتائج، ونجعل غرضنا في جميع ما نستقرئه ونتصفحه استعمال العدل لا اتباع الهوى، ونتحرى في سائر ما نميزه وننتقده طلب الحق لا الميل مع الآراء، فلعلنا ننتهي بهذا الطريق إلى الحق الذي به يثلج الصدر،"
e27  ,We may in this way eventually come to the truth that gratifies the heart and gradually and carefully reach the end at which certainty appears; while through criticism and caution we may seize the truth that dispels disagreement and resolves doubtful matters.,"ونصل بالتدريج والتلطف إلى الغاية التي عندها يقع اليقين، ونظفر مع النقد والتحفظ بالحقيقة التي يزول معها الخلاف وتنحسم بها مواد الشبهات. 
","ونصل بالتدريج والتلطف إلى الغاية التي عندها يقع اليقين، ونظفر مع النقد والتحفظ بالحقيقة التي يزول معها الخلاف وتنحسم بها مواد الشبهات. 
"
e28  ,"For all that, we are not free from that human turbidity which is in the nature of man; but we must do our best with what we possess of human power. From God we derive support in all things.","وما نحن، مع جميع ذلك، برآء مما هو في طبيعة الإنسان من كدر البشرية، ولكنا نجتهد بقدر ما هو لنا من القوة الإنسانية، ومن الله نستمد المعونة في جميع الأمور.","وما نحن، مع جميع ذلك، برآء مما هو في طبيعة الإنسان من كدر البشرية، ولكنا نجتهد بقدر ما هو لنا من القوة الإنسانية، ومن الله نستمد المعونة في جميع الأمور."
e29  ,We divide this work into seven Books. In Book I we show the manner of vision generally.,"ونحن نقسم هذا الكتاب سبع مقالات: ونبين في المقالة الأولى كيفية الإبصار بالجملة،","ونحن نقسم هذا الكتاب سبع مقالات: ونبين في المقالة الأولى كيفية الإبصار بالجملة،"
e30  ,"In Book II we detail the visible properties, their causes and the manner of their perception.","ونبين في المقالة الثانية تفصيل المعاني التي يدركها البصر وعللها وكيفية إدراكها،","ونبين في المقالة الثانية تفصيل المعاني التي يدركها البصر وعللها وكيفية إدراكها،"
e31  ,"In Book III we show the errors of sight in what it perceives directly, and their causes.","ونبين في المقالة الثالثة أغلاط البصر فيما يدركه على استقامة وعللها،","ونبين في المقالة الثالثة أغلاط البصر فيما يدركه على استقامة وعللها،"
e32  ,In Book IV we show the manner of visual perception by reflection from smooth bodies.,"ونبين في المقالة الرابعة كيفية أدراك البصر بالانعكاس عن الأجسام الصقيلة،","ونبين في المقالة الرابعة كيفية أدراك البصر بالانعكاس عن الأجسام الصقيلة،"
e33  ,"In Book V we show the positions of images, namely the forms seen inside smooth bodies.","ونبين بالمقالة الخامسة مواضع الخيالات وهي الصور التي ترى في الأجسام الصقيلة،","ونبين بالمقالة الخامسة مواضع الخيالات وهي الصور التي ترى في الأجسام الصقيلة،"
e34  ,"In Book VI we show the errors of sight in what it perceives by reflection, and their causes.","ونبين في المقالة السادسة أغلاط البصر فيما يدركه بالانعكاس وعللها،","ونبين في المقالة السادسة أغلاط البصر فيما يدركه بالانعكاس وعللها،"
e35  ,In Book VII we show the manner of visual perception by refraction through transparent bodies whose transparency differs from that of air.,"ونبين في المقالة السابعة كيفية إدراك البصر بالانعطاف من وراء الأجسام المشفة المخالفة الشفيف لشفيف الهواء،","ونبين في المقالة السابعة كيفية إدراك البصر بالانعطاف من وراء الأجسام المشفة المخالفة الشفيف لشفيف الهواء،"
e36  ,And with the end of this Book we conclude this work.,"ونختم الكتاب عند آخر هذه المقالة.
","ونختم الكتاب عند آخر هذه المقالة.
"
e37  ,"We formerly composed a treatise on the science of optics in which we often followed persuasive methods of reasoning; but when true demonstra­tions relating to all objects of vision occurred to us, we started afresh the composition of this book. Whoever, therefore, comes upon the said treatise must know that it should be discarded, for the notions expressed in it are included in the content of the present work.","وقد كنا ألفنا مقالة في علم المناظر سلكنا في كثير من مقاييسها طرقاً إقناعية، فلما توجهت لنا البراهين المحققة على جميع المعاني المبصرة استأنفنا تأليف هذا الكتاب. فمن وقع إليه المقالة التي ذكرناها فليعلم أنها مستغنى عنها بحصول المعاني التي فيها في مضمون هذا الكتاب.","وقد كنا ألفنا مقالة في علم المناظر سلكنا في كثير من مقاييسها طرقا إقناعية، فلما توجهت لنا البراهين المحققة على جميع المعاني المبصرة استأنفنا تأليف هذا الكتاب. فمن وقع إليه المقالة التي ذكرناها فليعلم أنها مستغنى عنها بحصول المعاني التي فيها في مضمون هذا الكتاب."
e38  ,CHAPTER 2: INQUIRY INTO THE PROPERTIES OF SIGHT,الفصل الثاني: البحث عن خواص البصر,الفصل الثاني: البحث عن خواص البصر
e39  ,"We find that sight does not perceive any visible object unless there is some distance between them. For when the object is in contact with the surface of the eye it is not perceived by sight, even though it is a proper object of visual perception.","نجد البصر ليس يدرك شيئاً من المبصرات إلا إذا كان بينهما بعد ما. فإن المبصر إذا كان ملتصقاً بسطح البصر فليس يدركه البصر وإن كان من المبصرات التي يصح أن يدركها البصر.
","نجد البصر ليس يدرك شيئا من المبصرات إلا إذا كان بينهما بعد ما. فإن المبصر إذا كان ملتصقا بسطح البصر فليس يدركه البصر وإن كان من المبصرات التي يصح أن يدركها البصر.
"
e40  ,"And we find that sight does not perceive any of the visible objects that are situated with it in the same atmosphere, and are not perceived by reflection, unless the object is placed opposite the eye; and provided that between each point on the perceived surface of the object and the surface of the eye a straight line (or lines) can be imagined; and provided that there does not intervene between the surface of the eye and the object any opaque body that interrupts all the straight lines imagined to lie between the surface of the eye and the perceived surface of the object.","ونجد البصر ليس يدرك شيئاً من المبصرات التي تكون معه في هواء واحد، ويكون إدراكه لها لا بالانعكاس، إلا إذا كان مقابلاً للبصر، وكان بين كل نقطة من سطحه الذي يدركه البصر وبين سطح البصر خط مستقيم متوهم أو خطوط مستقيمة متوهمة، ولم يتوسط بين سطح البصر وبين المبصر جسم كثيف يقطع جميع الخطوط المستقيمة التي توهم بين سطح البصر وبين سطح المبصر الذي يدركه البصر.
","ونجد البصر ليس يدرك شيئا من المبصرات التي تكون معه في هواء واحد، ويكون إدراكه لها لا بالانعكاس، إلا إذا كان مقابلا للبصر، وكان بين كل نقطة من سطحه الذي يدركه البصر وبين سطح البصر خط مستقيم متوهم أو خطوط مستقيمة متوهمة، ولم يتوسط بين سطح البصر وبين المبصر جسم كثيف يقطع جميع الخطوط المستقيمة التي توهم بين سطح البصر وبين سطح المبصر الذي يدركه البصر.
"
e41  ,"Further, for any seen object that is situated with the eye in the same air and is not perceived by reflection, we find that if all the straight lines imagined between the surface of the eye and the perceived surface of the object are interrupted by an opaque body, then the object will be concealed from the eye and cease to be perceptible, even though a continuum of air free from opaque objects may still exist between the eye and the object, provided that this continuity is not rectilinear. ","ونجد كل مبصر يدركه البصر، ويكون معه في هواء واحد، ويكون إدراكه له بالانعكاس، متى قطعت جميع الخطوط المستقيمة التي تتوهم بين سطح البصر وبين سطحه الذي يدركه البصر بجسم كثيف استتر ذلك البصر عن البصر وخفي عنه ولم يدركه، وإن كان بين البصر وبينه في هذه الحال هواء متصل لا يتخلله شيء من الأجسام الكثيفة إذا كان اتصاله على غير استقامة، 
","ونجد كل مبصر يدركه البصر، ويكون معه في هواء واحد، ويكون إدراكه له بالانعكاس، متى قطعت جميع الخطوط المستقيمة التي تتوهم بين سطح البصر وبين سطحه الذي يدركه البصر بجسم كثيف استتر ذلك البصر عن البصر وخفي عنه ولم يدركه، وإن كان بين البصر وبينه في هذه الحال هواء متصل لا يتخلله شيء من الأجسام الكثيفة إذا كان اتصاله على غير استقامة، 
"
e42  ,"Then, if the opaque screen is removed, the sight will perceive the object.",ثم إذا رفع ذلك الساتر الكثيف أدرك البصر المبصر.,ثم إذا رفع ذلك الساتر الكثيف أدرك البصر المبصر.
e43  ,"Suppose now that the screen intersects all straight lines between any part of the surface of the object and the surface of the eye, so that every straight line between that part of the object and the point on the surface of the eye through which vision occurs is interrupted by the screen. ","ومتى قطع الساتر جميع الخطط المستقيمة التي بين جزء من سطح المبصر وبين سطح البصر، حتى لا يبقى بين ذلك الجزء من المبصر وبين شيء من الجزء من سطح البصر الذي منه يكون الإبصار خط مستقيم إلا وقد قطعه ذلك الساتر، 
","ومتى قطع الساتر جميع الخطط المستقيمة التي بين جزء من سطح المبصر وبين سطح البصر، حتى لا يبقى بين ذلك الجزء من المبصر وبين شيء من الجزء من سطح البصر الذي منه يكون الإبصار خط مستقيم إلا وقد قطعه ذلك الساتر، 
"
e44  ,Then only that part of the object will disappear which is such that the straight lines between it and the point of vision on the surface of the eye have all been interrupted by the screen.,استتر من المبصر ذلك الجزء فقط الذي قطع الساتر جميع الخطوط المستقيمة التي بينه وبين موضع الإبصار من سطح البصر.,استتر من المبصر ذلك الجزء فقط الذي قطع الساتر جميع الخطوط المستقيمة التي بينه وبين موضع الإبصار من سطح البصر.
e45  ,"If a survey is made of all visible objects at all times, and if they are experimentally and accurately examined, they will be found to be uniformly as we have described them, with no variation or change.","وإذا استقرئت جميع المبصرات في جميع الأوقات واعتبرت وحررت وجدت على الصفة التي ذكرناها مطردة ولا تتغير. 
","وإذا استقرئت جميع المبصرات في جميع الأوقات واعتبرت وحررت وجدت على الصفة التي ذكرناها مطردة ولا تتغير. 
"
e46  ,"This therefore proves that for every seen object that exists with the eye in the same atmosphere, and is not perceived by reflection, there exists between each point on the seen surface of the object and a certain point or multiplicity of points on the surface of the eye a straight line or lines which are not interrupted by any opaque body.","فيدل ذلك على أن كل مبصر يدركه البصر، ويكون معه في هواء واحد، وإذا كان إدراكه له لا بالانعكاس، فإن بين كل نقطة من سطح المبصر وبين نقطة ما من سطح البصر، أو أكثر من نقطة، خطاً مستقيماً أو خطوطاً مستقيمة لا يقطعها شيء من الأجسام الكثيفة.","فيدل ذلك على أن كل مبصر يدركه البصر، ويكون معه في هواء واحد، وإذا كان إدراكه له لا بالانعكاس، فإن بين كل نقطة من سطح المبصر وبين نقطة ما من سطح البصر، أو أكثر من نقطة، خطا مستقيما أو خطوطا مستقيمة لا يقطعها شيء من الأجسام الكثيفة."
e47  ,An accurate experimental examination of this fact may be easily made with the help of rulers and tubes.,فأما كيف يعتبر هذا المعنى اعتباراً محرراً فإن اعتباره ممكن مستهل بالمساطر والأنابيب.,فأما كيف يعتبر هذا المعنى اعتبارا محررا فإن اعتباره ممكن مستهل بالمساطر والأنابيب.
e48  ,"Let the experimenter who wishes to make such an examination [proceed as follows]. Take a very sound and straight ruler and draw along the middle of its surface a straight line parallel to its sides. Take a hollow cylindrical tube, very straight in length, perfectly round and ending in parallel circles;","فإذا شاء معتبر أن يعتبر ذلك ويحرره فليتخذ مسطرة في غاية الصحة والاستقامة موازياً لخطي نهايتها، ويتخذ أنبوباً أسطوانياً أجوف طوله في غاية الاستقامة واستدارته في غاية ما يمكن من الصحة ودائرتا طرفيه متوازيتان.","فإذا شاء معتبر أن يعتبر ذلك ويحرره فليتخذ مسطرة في غاية الصحة والاستقامة موازيا لخطي نهايتها، ويتخذ أنبوبا أسطوانيا أجوف طوله في غاية الاستقامة واستدارته في غاية ما يمكن من الصحة ودائرتا طرفيه متوازيتان."
